1,1,Nguyen Van GV,,
20220050,0050,20220050,Nguyen Van AX,1,6,3,4.2
20220049,0049,20220049,Nguyen Van AW,1,4,4,4.3
20220048,0048,20220048,Nguyen Van AV,1,10,2,4.4
20220047,0047,20220047,Nguyen Van AU,1,10,2,4.4
20220046,0046,20220046,Nguyen Van AT,1,10,2,4.4
20220045,0045,20220045,Nguyen Van AS,1,5,4,4.6
20220044,0044,20220044,Nguyen Van AR,1,3,5,4.7
20220043,0043,20220043,Nguyen Van AQ,1,7,4,5.2
20220042,0042,20220042,Nguyen Van AP,1,0,7,5.2
20220041,0041,20220041,Nguyen Van AO,1,3,6,5.4
20220040,0040,20220040,Nguyen Van AN,1,3,6,5.4
20220039,0039,20220039,Nguyen Van AM,1,1,7,5.5
20220038,0038,20220038,Nguyen Van AL,1,8,4,5.5
20220037,0037,20220037,Nguyen Van AK,1,6,5,5.6
20220036,0036,20220036,Nguyen Van AJ,1,10,4,5.8
20220035,0035,20220035,Nguyen Van AI,1,9,4,5.8
20220033,0033,20220033,Nguyen Van AG,1,3,7,6.1
20220032,0032,20220032,Nguyen Van AF,1,1,8,6.2
20220031,0031,20220031,Nguyen Van AE,1,8,5,6.2
20220030,0030,20220030,Nguyen Van AD,1,8,5,6.2
20220029,0029,20220029,Nguyen Van AC,1,6,6,6.3
20220028,0028,20220028,Nguyen Van AB,1,4,7,6.4
20220027,0027,20220027,Nguyen Van AA,1,10,5,6.5
20220026,0026,20220026,Nguyen Van Z,1,10,10,10
20220025,0025,20220025,Nguyen Van Y,1,9,5,6.5
20220024,0024,20220024,Nguyen Van X,1,2,8,6.5
20220023,0023,20220023,Nguyen Van W,1,5,7,6.7
20220022,0022,20220022,Nguyen Van V,1,2,9,7.2
20220021,0021,20220021,Nguyen Van U,1,0,10,7.3
20220020,0020,20220020,Nguyen Van T,1,3,9,7.5
20220019,0019,20220019,Nguyen Van S,1,4,9,7.8
20220018,0018,20220018,Nguyen Van R,1,9,7,7.9
20220017,0017,20220017,Nguyen Van Q,1,9,7,7.9
20220016,0016,20220016,Nguyen Van P,1,9,7,7.9
20220015,0015,20220015,Nguyen Van O,1,10,7,7.9
20220014,0014,20220014,Nguyen Van N,1,2,10,7.9
20220013,0013,20220013,Nguyen Van M,1,7,8,8
20220012,0012,20220012,Nguyen Van L,1,3,10,8.2
20220011,0011,20220011,Nguyen Van K,1,8,8,8.3
20220010,0010,20220010,Nguyen Van J,1,6,9,8.4
20220009,0009,20220009,Nguyen Van I,1,6,9,8.4
20220008,0008,20220008,Nguyen Van H,1,9,8,8.6
20220007,0007,20220007,Nguyen Van G,1,7,9,8.7
20220006,0006,20220006,Nguyen Van F,1,7,10,9.4
20220034,0034,20220034,Nguyen Van AH,1,9,9,9.3
20220005,0005,20220005,Nguyen Van E,1,7,10,9.4
20220004,0004,20220004,Nguyen Van D,1,10,10,10
20220003,0003,20220003,Nguyen Van C,1,9,10,10
20220001,0001,20220001,Nguyen Van A,0,10,10,10
